run_id,trajectory,condition,delay_ms,method,method_code,repetition,seed,nominal_initial_range_m,trial_timeout_s,status
HT1_HC0_M0prime_rep01,HT1,HC0,50,M0prime,A0prime_CA_arrival,1,11001,18.0,30.0,pending
HT1_HC0_M1_rep01,HT1,HC0,50,M1,mpc_dca_tracking,1,11001,18.0,30.0,pending
HT1_HC0_M0prime_rep02,HT1,HC0,50,M0prime,A0prime_CA_arrival,2,11002,18.0,30.0,pending
HT1_HC0_M1_rep02,HT1,HC0,50,M1,mpc_dca_tracking,2,11002,18.0,30.0,pending
HT1_HC0_M0prime_rep03,HT1,HC0,50,M0prime,A0prime_CA_arrival,3,11003,18.0,30.0,pending
HT1_HC0_M1_rep03,HT1,HC0,50,M1,mpc_dca_tracking,3,11003,18.0,30.0,pending
HT1_HC1_M0prime_rep01,HT1,HC1,120,M0prime,A0prime_CA_arrival,1,12001,18.0,30.0,pending
HT1_HC1_M1_rep01,HT1,HC1,120,M1,mpc_dca_tracking,1,12001,18.0,30.0,pending
HT1_HC1_M0prime_rep02,HT1,HC1,120,M0prime,A0prime_CA_arrival,2,12002,18.0,30.0,pending
HT1_HC1_M1_rep02,HT1,HC1,120,M1,mpc_dca_tracking,2,12002,18.0,30.0,pending
HT1_HC1_M0prime_rep03,HT1,HC1,120,M0prime,A0prime_CA_arrival,3,12003,18.0,30.0,pending
HT1_HC1_M1_rep03,HT1,HC1,120,M1,mpc_dca_tracking,3,12003,18.0,30.0,pending
HT2_HC0_M0prime_rep01,HT2,HC0,50,M0prime,A0prime_CA_arrival,1,21001,18.0,30.0,pending
HT2_HC0_M1_rep01,HT2,HC0,50,M1,mpc_dca_tracking,1,21001,18.0,30.0,pending
HT2_HC0_M0prime_rep02,HT2,HC0,50,M0prime,A0prime_CA_arrival,2,21002,18.0,30.0,pending
HT2_HC0_M1_rep02,HT2,HC0,50,M1,mpc_dca_tracking,2,21002,18.0,30.0,pending
HT2_HC0_M0prime_rep03,HT2,HC0,50,M0prime,A0prime_CA_arrival,3,21003,18.0,30.0,pending
HT2_HC0_M1_rep03,HT2,HC0,50,M1,mpc_dca_tracking,3,21003,18.0,30.0,pending
HT2_HC1_M0prime_rep01,HT2,HC1,120,M0prime,A0prime_CA_arrival,1,22001,18.0,30.0,pending
HT2_HC1_M1_rep01,HT2,HC1,120,M1,mpc_dca_tracking,1,22001,18.0,30.0,pending
HT2_HC1_M0prime_rep02,HT2,HC1,120,M0prime,A0prime_CA_arrival,2,22002,18.0,30.0,pending
HT2_HC1_M1_rep02,HT2,HC1,120,M1,mpc_dca_tracking,2,22002,18.0,30.0,pending
HT2_HC1_M0prime_rep03,HT2,HC1,120,M0prime,A0prime_CA_arrival,3,22003,18.0,30.0,pending
HT2_HC1_M1_rep03,HT2,HC1,120,M1,mpc_dca_tracking,3,22003,18.0,30.0,pending
